File: ,IHME_GBD_2013_MDG6_1990_2013_HIV_TB_INCIDENCE_PREVALENCE_DEATHS_Y2014M11D21.CSV,,,,,,,,,,,,,,
,105,ATG,Antigua and Barbuda,,,,,,,,,,,,
,107,BRB,Barbados,,,,,,,,,,,,
,108,BLZ,Belize,,,,,,,,,,,,
,109,CUB,Cuba,,,,,,,,,,,,
,110,DMA,Dominica,,,,,,,,,,,,
,111,DOM,Dominican Republic,,,,,,,,,,,,
,112,GRD,Grenada,,,,,,,,,,,,
,113,GUY,Guyana,,,,,,,,,,,,
,114,HTI,Haiti,,,,,,,,,,,,
,115,JAM,Jamaica,,,,,,,,,,,,
,116,LCA,Saint Lucia,,,,,,,,,,,,
,117,VCT,Saint Vincent and the Grenadines,,,,,,,,,,,,
,118,SUR,Suriname,,,,,,,,,,,,
,106,BHS,The Bahamas,,,,,,,,,,,,
,119,TTO,Trinidad and Tobago,,,,,,,,,,,,
,124,R12,Central Latin America,,,,,,,,,,,,
,125,COL,Colombia,,,,,,,,,,,,
,126,CRI,Costa Rica,,,,,,,,,,,,
,127,SLV,El Salvador,,,,,,,,,,,,
,128,GTM,Guatemala,,,,,,,,,,,,
,129,HND,Honduras,,,,,,,,,,,,
,130,MEX,Mexico,,,,,,,,,,,,
,131,NIC,Nicaragua,,,,,,,,,,,,
,132,PAN,Panama,,,,,,,,,,,,
,133,VEN,Venezuela,,,,,,,,,,,,
,134,R14,Tropical Latin America,,,,,,,,,,,,
,135,BRA,Brazil,,,,,,,,,,,,
,136,PRY,Paraguay,,,,,,,,,,,,
,4,S6,"Southeast Asia, East Asia, and Oceania",,,,,,,,,,,,
,5,R3,East Asia,,,,,,,,,,,,
,6,CHN,China,,,,,,,,,,,,
,7,PRK,North Korea,,,,,,,,,,,,
,8,TWN,Taiwan,,,,,,,,,,,,
,21,R17,Oceania,,,,,,,,,,,,
,25,FSM,Federated States of Micronesia,,,,,,,,,,,,
,22,FJI,Fiji,,,,,,,,,,,,
,23,KIR,Kiribati,,,,,,,,,,,,
,24,MHL,Marshall Islands,,,,,,,,,,,,
,26,PNG,Papua New Guinea,,,,,,,,,,,,
,27,WSM,Samoa,,,,,,,,,,,,
,28,SLB,Solomon Islands,,,,,,,,,,,,
,29,TON,Tonga,,,,,,,,,,,,
,30,VUT,Vanuatu,,,,,,,,,,,,
,9,R5,Southeast Asia,,,,,,,,,,,,
,10,KHM,Cambodia,,,,,,,,,,,,
,11,IDN,Indonesia,,,,,,,,,,,,
,12,LAO,Laos,,,,,,,,,,,,
,13,MYS,Malaysia,,,,,,,,,,,,
,14,MDV,Maldives,,,,,,,,,,,,
,15,MMR,Myanmar,,,,,,,,,,,,
,16,PHL,Philippines,,,,,,,,,,,,
,17,LKA,Sri Lanka,,,,,,,,,,,,
,18,THA,Thailand,,,,,,,,,,,,
,19,TLS,Timor-Leste,,,,,,,,,,,,
,20,VNM,Vietnam,,,,,,,,,,,,
,158,S5,South Asia,,,,,,,,,,,,
,159,R4,Afghanistan,,,,,,,,,,,,
,160,AFG,Bangladesh,,,,,,,,,,,,
,161,BGD,Bhutan,,,,,,,,,,,,
,162,BTN,India,,,,,,,,,,,,
,163,IND,Nepal,,,,,,,,,,,,
,164,NPL,Pakistan,,,,,,,,,,,,
,165,PAK,North Africa and Middle East,,,,,,,,,,,,
,137,S4,Algeria,,,,,,,,,,,,
,138,R15,Bahrain,,,,,,,,,,,,
,139,DZA,Egypt,,,,,,,,,,,,
,140,BHR,Iran,,,,,,,,,,,,
,141,EGY,Iraq,,,,,,,,,,,,
,142,IRN,Jordan,,,,,,,,,,,,
,143,IRQ,Kuwait,,,,,,,,,,,,
,144,JOR,Lebanon,,,,,,,,,,,,
,145,KWT,Libya,,,,,,,,,,,,
,146,LBN,Morocco,,,,,,,,,,,,
,147,LBY,Oman,,,,,,,,,,,,
,148,MAR,Palestine,,,,,,,,,,,,
,150,OMN,Qatar,,,,,,,,,,,,
,149,PSE,Saudi Arabia,,,,,,,,,,,,
,151,QAT,Sudan,,,,,,,,,,,,
,152,SAU,Syria,,,,,,,,,,,,
,522,SDN,Tunisia,,,,,,,,,,,,
,153,SYR,Turkey,,,,,,,,,,,,
,154,TUN,United Arab Emirates,,,,,,,,,,,,
,155,TUR,Yemen,,,,,,,,,,,,
,156,ARE,Sub-Saharan Africa,,,,,,,,,,,,
,157,YEM,Central Sub-Saharan Africa,,,,,,,,,,,,
,166,S3,Angola,,,,,,,,,,,,
,167,R18,Central African Republic,,,,,,,,,,,,
,168,AGO,Congo,,,,,,,,,,,,
,169,CAF,Democratic Republic of the Congo,,,,,,,,,,,,
,170,COG,Equatorial Guinea,,,,,,,,,,,,
,171,COD,Gabon,,,,,,,,,,,,
,172,GNQ,Eastern Sub-Saharan Africa,,,,,,,,,,,,
,173,GAB,Burundi,,,,,,,,,,,,
,174,R19,Comoros,,,,,,,,,,,,
,175,BDI,Djibouti,,,,,,,,,,,,
,176,COM,Eritrea,,,,,,,,,,,,
,177,DJI,Ethiopia,,,,,,,,,,,,
,178,ERI,Kenya,,,,,,,,,,,,
,179,ETH,Madagascar,,,,,,,,,,,,
,180,KEN,Malawi,,,,,,,,,,,,
,181,MDG,Mauritius,,,,,,,,,,,,
,182,MWI,Mozambique,,,,,,,,,,,,
,183,MUS,Rwanda,,,,,,,,,,,,
,184,MOZ,Seychelles,,,,,,,,,,,,
,185,RWA,Somalia,,,,,,,,,,,,
,186,SYC,South Sudan,,,,,,,,,,,,
,187,SOM,Tanzania,,,,,,,,,,,,
,435,SSD,Uganda,,,,,,,,,,,,
,189,TZA,Zambia,,,,,,,,,,,,
,190,UGA,Southern Sub-Saharan Africa,,,,,,,,,,,,
,191,ZMB,Botswana,,,,,,,,,,,,
,192,R20,Lesotho,,,,,,,,,,,,
,193,BWA,Namibia,,,,,,,,,,,,
,194,LSO,South Africa,,,,,,,,,,,,
,195,NAM,Swaziland,,,,,,,,,,,,
,196,ZAF,Zimbabwe,,,,,,,,,,,,
,197,SWZ,Western Sub-Saharan Africa,,,,,,,,,,,,
,198,ZWE,Benin,,,,,,,,,,,,
,199,R21,Burkina Faso,,,,,,,,,,,,
,200,BEN,Cameroon,,,,,,,,,,,,
,201,BFA,Cape Verde,,,,,,,,,,,,
,202,CMR,Chad,,,,,,,,,,,,
,203,CPV,Cote d'Ivoire,,,,,,,,,,,,
,204,TCD,Ghana,,,,,,,,,,,,
,205,CIV,Guinea,,,,,,,,,,,,
,207,GHA,Guinea-Bissau,,,,,,,,,,,,
,208,GIN,Liberia,,,,,,,,,,,,
,209,GNB,Mali,,,,,,,,,,,,
,210,LBR,Mauritania,,,,,,,,,,,,
,211,MLI,Niger,,,,,,,,,,,,
,212,MRT,Nigeria,,,,,,,,,,,,
,213,NER,Sao Tome and Principe,,,,,,,,,,,,
,214,NGA,Senegal,,,,,,,,,,,,
,215,STP,Sierra Leone,,,,,,,,,,,,
,216,SEN,The Gambia,,,,,,,,,,,,
,217,SLE,Togo,,,,,,,,,,,,
,206,GMB,,,,,,,,,,,,,
,218,TGO,,,,,,,,,,,,,
