ï»¿Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65024
"Population, total",SP.POP.TOTL,Bhutan,BTN,535738,534905,528304,519056,511588,509105,512594,521146,533737,548599,564350,580888,598455,616383,633893,650417,665568,679365,692159,704542,716939,729429,741822,753947
"Population, total",SP.POP.TOTL,Bolivia,BOL,6794046,6956736,7123294,7292745,7463773,7635362,7806953,7978521,8150214,8322408,8495271,8669066,8843350,9016787,9187610,9354709,9517395,9676456,9834098,9993406,10156601,10324445,10496285,10671200
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4526511,4373715,4143068,3882548,3659409,3520996,3485575,3535998,3640821,3752004,3834364,3879353,3897579,3895779,3886723,3879828,3875157,3868665,3861201,3853446,3845929,3839322,3833916,3829307
"Population, total",SP.POP.TOTL,Botswana,BWA,1383912,1424513,1465072,1505303,1544865,1583453,1620989,1657349,1692148,1724924,1755375,1783349,1808976,1832602,1854739,1875805,1895944,1915187,1933719,1951715,1969341,1986701,2003910,2021144
"Population, total",SP.POP.TOTL,Brazil,BRA,149648341,152153539,154597985,157011131,159432909,161890816,164392423,166925457,169472347,172006362,174504898,176968205,179393768,181752951,184010283,186142403,188134315,189996976,191765567,193490922,195210154,196935134,198656019,200361925
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,256929,264332,271935,279652,287370,295003,302511,309904,317214,324501,331801,339114,346407,353649,360797,367815,374697,381440,388017,394400,400569,406512,412238,417784
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8020282,7868468,7823557,7781161,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888,7265115
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,8811033,9050090,9297116,9552473,9816586,10089876,10372562,10664982,10967836,11281942,11607944,11946080,12296399,12659086,13034258,13421929,13822257,14235075,14659646,15094967,15540284,15995313,16460141,16934839
"Population, total",SP.POP.TOTL,Burundi,BDI,5605873,5749774,5882679,6003704,6112449,6209923,6294482,6369573,6447672,6545273,6674286,6839376,7037727,7264340,7510771,7770392,8042579,8328312,8624280,8926687,9232753,9540362,9849569,10162532
"Population, total",SP.POP.TOTL,Cambodia,KHM,9057339,9378185,9721775,10077404,10430268,10769198,11090611,11395958,11685332,11960467,12222871,12472586,12709336,12934369,13149386,13356424,13555054,13747288,13940518,14144225,14364931,14605862,14864646,15135169
"Population, total",SP.POP.TOTL,Cameroon,CMR,12070359,12430339,12796831,13169247,13546948,13929575,14316949,14709426,15107909,15513653,15927713,16350440,16782044,17223277,17674960,18137734,18611937,19097676,19595026,20103945,20624343,21156272,21699631,22253959
"Population, total",SP.POP.TOTL,Canada,CAN,27791000,28171682,28519597,28833410,29111906,29354000,29671900,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34754312,35158304
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,351960,359642,368873,379100,389504,399477,408790,417562,425932,434168,442426,450812,459140,466939,473577,478651,481940,483713,484651,485714,487601,490556,494401,498897
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25009,26211,27402,28652,30055,31672,33535,35596,37742,39810,41685,43317,44742,46032,47299,48623,50026,51472,52912,54275,55509,56601,57570,58435
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2912824,2979588,3050789,3125144,3200633,3275695,3350299,3424733,3498140,3569523,3638316,3704045,3767248,3829636,3893595,3960897,4032102,4106897,4185106,4266247,4349921,4436217,4525209,4616417
"Population, total",SP.POP.TOTL,Chad,TCD,5951574,6142558,6338934,6542419,6755540,6980351,7216321,7463347,7724316,8002899,8301151,8620917,8959964,9311234,9665024,10014413,10356822,10694366,11030628,11371325,11720781,12080037,12448175,12825314
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140669,141568,142258,142822,143388,144050,144832,145709,146669,147682,148725,149799,150908,152039,153174,154298,155406,156497,157554,158565,159518,160407,161235,162018
"Population, total",SP.POP.TOTL,Chile,CHL,13213930,13456476,13706485,13958378,14204726,14440103,14662323,14872458,15072409,15265536,15454402,15639289,15819522,15995658,16168241,16337749,16504530,16668892,16831184,16991729,17150760,17308449,17464814,17619708
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000
"Population, total",SP.POP.TOTL,Colombia,COL,33306941,33957286,34608171,35260456,35915434,36573895,37236124,37901358,38568056,39234115,39897984,40558648,41216304,41872051,42527623,43184026,43841370,44498390,45153037,45802561,46444798,47078792,47704427,48321405
"Population, total",SP.POP.TOTL,Comoros,COM,412790,422969,433286,443820,454665,465895,477548,489627,502128,515028,528312,541976,556028,570491,585389,600733,616526,632736,649291,666097,683081,700216,717503,734917
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",ZAR,34910591,36253025,37731020,39257294,40711816,42012524,43122601,44078397,44960941,45889100,46949244,48167045,49516960,50972323,52487293,54028003,55590838,57187942,58819038,60486276,62191161,63931512,65705093,67513677
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2383283,2447020,2511819,2578424,2647817,2720633,2797572,2878333,2961357,3044444,3126204,3205636,3283719,3363418,3448868,3542867,3646653,3758858,3876475,3995146,4111715,4225359,4337051,4447632
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3078551,3155979,3233568,3312307,3393575,3478197,3566605,3658020,3750585,3841734,3929588,4013488,4093840,4171145,4246336,4320130,4392493,4463226,4532711,4601424,4669685,4737680,4805295,4872166
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12115806,12530078,12950995,13375363,13798862,14217430,14632391,15042149,15436470,15802248,16131332,16420173,16674987,16909801,17144325,17393994,17662417,17949061,18260044,18601342,18976588,19389954,19839750,20316086
"Population, total",SP.POP.TOTL,Croatia,HRV,4780000,4510000,4470000,4640000,4650000,4669000,4494000,4572000,4501000,4554000,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4252700
"Population, total",SP.POP.TOTL,Cuba,CUB,10600841,10684831,10757891,10821551,10878823,10932013,10980758,11024249,11063917,11101580,11138416,11175465,11212125,11245926,11273363,11292078,11301100,11301674,11296355,11288826,11281768,11276053,11270957,11265629
"Population, total",SP.POP.TOTL,Curacao,CUW,..,..,..,..,..,..,..,..,144472,139428,133860,128905,128804,131253,133363,136708,140217,143026,144971,145890,149311,150612,152056,153500
"Population, total",SP.POP.TOTL,Cyprus,CYP,766611,783138,800660,818814,837166,855389,873246,890733,908040,925491,943287,961481,979877,998142,1015820,1032586,1048314,1063095,1077089,1090553,1103685,1116513,1128994,1141166
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10308578,10319123,10329855,10333587,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10521468
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5613706
"Population, total",SP.POP.TOTL,Djibouti,DJI,589924,612589,629373,641900,652793,663999,675891,687897,699922,711652,722887,733732,744434,755085,765776,776585,787544,798690,810100,821865,834036,846646,859652,872932
"Population, total",SP.POP.TOTL,Dominica,DMA,70928,70849,70978,71205,71372,71367,71146,70756,70295,69902,69679,69660,69806,70058,70325,70542,70690,70795,70883,70996,71167,71401,71684,72003
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7245127,7392389,7540421,7688196,7834359,7977966,8118570,8256496,8392534,8527881,8663421,8799298,8935261,9071318,9207389,9343362,9479269,9615015,9750195,9884265,10016797,10147598,10276621,10403761
"Population, total",SP.POP.TOTL,Ecuador,ECU,10123593,10360630,10598168,10836327,11075454,11315800,11557151,11799289,12042454,12286995,12533087,12780869,13030041,13279806,13529091,13777131,14023503,14268397,14512402,14756424,15001072,15246481,15492264,15737878
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,56336614,57387589,58370712,59307778,60231864,61168397,62123592,63094069,64084443,65097777,66136590,67204189,68302914,69432477,70591288,71777678,72990754,74229577,75491922,76775023,78075705,79392466,80721874,82056378
"Population, total",SP.POP.TOTL,El Salvador,SLV,5344226,5425293,5511138,5597322,5677743,5748013,5806750,5855226,5895018,5928809,5958794,5985299,6008308,6029366,6050297,6072538,6096692,6122952,6151776,6183484,6218195,6256242,6297394,6340454
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,373851,386418,399625,413387,427503,441829,456389,471288,486542,502169,518179,534592,551399,568552,585983,603648,621517,639618,658025,676851,696167,715996,736296,757014
"Population, total",SP.POP.TOTL,Eritrea,ERI,3272563,3311719,3331918,3344626,3365933,3407812,3473399,3560353,3668350,3795384,3939348,4101609,4281576,4472533,4665522,4854066,5035036,5209846,5382163,5557889,5741159,5932852,6130922,6333135
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1380620,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1325016,1324612
"Population, total",SP.POP.TOTL,Ethiopia,ETH,48042755,49743883,51525658,53357867,55199953,57023519,58815116,60584273,62353942,64158887,66024199,67956866,69948344,71989666,74066147,76167240,78290649,80440708,82621190,84838032,87095281,89393063,91728849,94100756
"Population, total",SP.POP.TOTL,Faeroe Islands,FRO,48031,47496,46580,45512,44609,44099,44058,44413,45050,45788,46491,47135,47751,48308,48782,49157,49414,49554,49601,49600,49581,49551,49506,49469
"Population, total",SP.POP.TOTL,Fiji,FJI,728339,735209,744340,754923,765664,775587,784647,793098,800616,806857,811647,814700,816237,817224,818995,822484,828060,835392,843851,852479,860559,867921,874742,881065
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5439407
"Population, total",SP.POP.TOTL,France,FRA,58409202,58557072,58849212,59105073,59325793,59540711,59752020,59963792,60185178,60495470,60911057,61355725,61803229,62242474,62702121,63176246,63617975,64012572,64371099,64702921,65023142,65343588,65676758,66028467
"Population, total",SP.POP.TOTL,French Polynesia,PYF,198370,202020,205269,208349,211584,215200,219282,223734,228380,232956,237267,241276,245032,248536,251811,254884,257731,260361,262877,265412,268065,270874,273814,276831
"Population, total",SP.POP.TOTL,Gabon,GAB,946703,972539,998823,1025559,1052772,1080477,1108698,1137412,1166525,1195919,1225527,1255299,1285318,1315820,1347125,1379465,1412907,1447388,1482843,1519155,1556222,1594034,1632572,1671711
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,916811,949479,979666,1008242,1036580,1065746,1095930,1126986,1159271,1193143,1228863,1266691,1306667,1348548,1391934,1436549,1482324,1529406,1577984,1628332,1680640,1734966,1791225,1849285
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4835900,4873500,4911100,4861600,4734000,4616100,4531600,4487300,4452500,4418300,4386400,4357000,4328900,4318300,4361400,4398000,4388400,4383800,4410900,4452800,4483350,4490700,4476900
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80621788
"Population, total",SP.POP.TOTL,Ghana,GHA,14628693,15043053,15471695,15907265,16339278,16760926,17169151,17568461,17968830,18384302,18825034,19293392,19786307,20301686,20835514,21384034,21947779,22525659,23110139,23691533,24262901,24820706,25366462,25904598
"Population, total",SP.POP.TOTL,Greece,GRC,10156902,10256292,10369866,10465528,10553035,10634385,10709173,10776504,10834880,10882580,10917482,10951764,10983723,11018324,11055729,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771,11032328
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483
"Population, total",SP.POP.TOTL,Grenada,GRD,96286,96455,97201,98302,99403,100253,100796,101125,101302,101441,101620,101849,102099,102369,102655,102951,103260,103586,103932,104296,104677,105074,105483,105897
"Population, total",SP.POP.TOTL,Guam,GUM,130482,133553,136696,139820,142806,145562,148060,150306,152275,153951,155328,156417,157241,157823,158194,158401,158429,158331,158310,158621,159440,160858,162810,165124
"Population, total",SP.POP.TOTL,Guatemala,GTM,8890329,9098613,9312915,9532550,9756398,9983861,10214623,10449636,10691090,10941913,11204183,11478984,11765738,12062835,12367800,12678919,12995374,13317931,13648307,13988988,14341576,14706578,15082831,15468203
"Population, total",SP.POP.TOTL,Guinea,GIN,6020113,6351760,6734242,7136110,7514053,7837173,8094751,8296478,8457221,8600911,8746128,8895353,9045748,9204581,9379621,9576331,9798963,10046967,10314678,10593248,10876033,11161530,11451273,11745189
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1017385,1040717,1064691,1089235,1114249,1139667,1165465,1191672,1218336,1245530,1273312,1301748,1330849,1360559,1390791,1421515,1452659,1484337,1516920,1550905,1586624,1624228,1663558,1704255
"Population, total",SP.POP.TOTL,Guyana,GUY,725043,723259,723008,724014,725839,728136,730865,734059,737526,741046,744471,747657,750629,753612,756939,760834,765367,770407,775739,781055,786126,790882,795369,799613
"Population, total",SP.POP.TOTL,Haiti,HTI,7110116,7255042,7399862,7544982,7691001,7838241,7986858,8136372,8285690,8433339,8578234,8720247,8859635,8996229,9129933,9260879,9388642,9513714,9638255,9765153,9896400,10032864,10173775,10317461
"Population, total",SP.POP.TOTL,Honduras,HND,4903694,5041781,5180884,5319841,5457189,5591935,5723639,5852719,5980152,6107385,6235561,6365040,6495801,6628171,6762426,6898825,7037428,7178436,7322368,7469844,7621204,7776669,7935846,8097688
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9897247
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323002
"Population, total",SP.POP.TOTL,India,IND,868890700,886348712,903749636,921107534,938452550,955804355,973147577,990460131,1007746556,1025014711,1042261758,1059500888,1076705723,1093786762,1110626108,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648,1221156319,1236686732,1252139596
"Population, total",SP.POP.TOTL,Indonesia,IDN,178633239,181786329,184916848,188019278,191085673,194112556,197097887,200050444,202990922,205946831,208938698,211970371,215038285,218145617,221293797,224480901,227709821,230972808,234243489,237486894,240676485,243801639,246864191,249865631
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,56361868,57472293,58307457,58982430,59663107,60468352,61440887,62542531,63713397,64858754,65911052,66857624,67727274,68543171,69342126,70152384,70976584,71809219,72660887,73542954,74462314,75424285,76424443,77447168
"Population, total",SP.POP.TOTL,Iraq,IRQ,17517521,18009865,18547047,19123947,19731733,20363138,21017108,21693597,22387179,23091408,23801156,24516842,25238267,25959531,26673536,27377045,28064095,28740630,29429829,30163199,30962380,31760020,32578209,33417476
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4274137,4398942,4489544,4535375,4560155,4576794,4586897,4595281
"Population, total",SP.POP.TOTL,Isle of Man,IMY,70312,70963,71306,71486,71726,72181,72898,73814,74848,75875,76806,77616,78338,79001,79658,80345,81068,81812,82561,83293,83992,84654,85284,85888
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059400
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,59831093
"Population, total",SP.POP.TOTL,Jamaica,JAM,2390000,2406042,2423044,2441024,2460002,2480000,2509923,2534069,2556780,2574289,2589389,2605556,2615253,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2715000
"Population, total",SP.POP.TOTL,Japan,JPN,123537000,123921000,124229000,124536000,124961000,125439000,125761000,126091000,126410000,126650000,126870000,127149000,127445000,127718000,127761000,127773000,127756000,127770750,127704040,127557958,127450459,127817277,127561489,127338621
"Population, total",SP.POP.TOTL,Jordan,JOR,3170000,3545000,3733000,3906000,4061000,4195000,4325000,4459000,4597000,4681000,4797000,4917000,5038000,5164000,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6459000
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,16450500,16439095,16330419,16095199,15815626,15577894,15333703,15071300,14928426,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17037508
"Population, total",SP.POP.TOTL,Kenya,KEN,23446439,24237056,25036941,25839132,26634659,27418077,28186224,28943647,29702246,30478597,31285050,32126351,33000524,33905011,34834606,35785718,36757498,37752304,38773277,39824734,40909194,42027891,43178141,44353691
"Population, total",SP.POP.TOTL,Kiribati,KIR,71040,72343,73434,74395,75346,76378,77511,78725,80018,81377,82788,84261,85799,87371,88936,90468,91953,93401,94832,96272,97743,99250,100786,102351
"Population, total",SP.POP.TOTL,"Korea, Dem. Rep.",PRK,20194361,20510215,20838090,21166238,21478552,21763678,22016518,22240833,22444993,22641754,22840225,23043449,23248059,23449180,23639303,23813333,23969917,24111989,24243894,24371865,24500520,24631291,24763188,24895480
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47357362,47622179,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669
"Population, total",SP.POP.TOTL,Kosovo,KSV,1862000,1898000,1932000,1965000,1997000,2029000,2059000,2086000,1966000,1762000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1807106,1824000
"Population, total",SP.POP.TOTL,Kuwait,KWT,2059774,1999651,..,..,..,1586123,1585244,1635999,1722208,1818405,1906231,1980604,2048232,2116353,2196466,2296314,2417445,2554920,2702221,2850102,2991580,3124705,3250496,3368572
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719500
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4244520,4369940,4497827,4625861,4751142,4871472,4986592,5096724,5200898,5298146,5388281,5470169,5545245,5619069,5699112,5790646,5895930,6013278,6139127,6267968,6395713,6521314,6645827,6769727
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2013385
"Population, total",SP.POP.TOTL,Lebanon,LBN,2703019,2752473,2821868,2900862,2974647,3033406,3070984,3092718,3114014,3156706,3235380,3357600,3515604,3690110,3853582,3986865,4079823,4139813,4186088,4246924,4341092,4382790,4424888,4467390
"Population, total",SP.POP.TOTL,Lesotho,LSO,1597534,1627900,1660360,1693459,1725118,1753824,1779197,1801679,1821609,1839611,1856225,1871500,1885487,1898757,1912022,1925844,1940413,1955784,1972199,1989873,2008921,2029516,2051545,2074465
"Population, total",SP.POP.TOTL,Liberia,LBR,2102877,2066060,2028672,2006349,2019148,2079921,2197801,2365290,2558085,2741755,2891968,2998770,3070673,3124222,3184643,3269786,3384791,3522294,3672714,3821440,3957990,4079697,4190435,4294077
"Population, total",SP.POP.TOTL,Libya,LBY,4259811,4359515,4459214,4558021,4654483,4747619,4837354,4924347,5009240,5092939,5176185,5258677,5340389,5422612,5507000,5594450,5686475,5782108,5876805,5964325,6040612,6103233,6154623,6201521
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28745,29114,29512,29934,30373,30824,31287,31758,32227,32676,33093,33475,33821,34141,34445,34740,35028,35308,35582,35851,36120,36388,36656,36925
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2956121
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543202
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,359735,369484,377799,385041,391783,398459,405231,412031,418810,425448,431907,438080,444150,450711,458542,468149,479808,493206,507528,521617,534626,546278,556783,566375
