Variable,Label,Value Coding
Peptic ulcer disease,Peptic ulcer,PUD
Gastritis and duodenitis,Gastrititis & duodenitis,Gastrititis
Appendicitis,Appendicitis,Appendicitis
Paralytic ileus and intestinal obstruction without hernia,Intestinal obstructions,Ileus
Inguinal or femoral hernia,Inguinal & femoral hernia,I+F Hernia
Non-infective inflammatory bowel disease,Inflammatory bowel disease,IBD
Vascular disorders of intestine,Vascular intestinal disorders,Vasc Intest
Gall bladder and bile duct disease,Gall bladder diseases,Gall+Bile
Pancreatitis,Pancreatitis,Pancreatitis
Other digestive diseases,Other digestive diseases,Oth Diges
Alzheimer's disease and other dementias,Alzheimer's disease,Alzh
Parkinson's disease,Parkinson's disease,Parkins
Epilepsy,Epilepsy,Epilepsy
Multiple sclerosis,Multiple sclerosis,MS
Migraine,Migraine,Migraine
Tension-type headache,Tension-type headache,Headache
Other neurological disorders,Other neurological disorders,Oth Neuro
Schizophrenia,Schizophrenia,Schizo
Alcohol use disorders,Alcohol use disorders,Alcohol
Opioid use disorders,Opioid use,Opioids
Cocaine use disorders,Cocaine use,Cocaine
Amphetamine use disorders,Amphetamine use,Amphet
Cannabis use disorders,Cannabis use,Cannabis
Other drug use disorders,Other drug use,Oth Drug
Major depressive disorder,Major depressive disorder,MDD
Dysthymia,Dysthymia,Dysthymia
Bipolar affective disorder,Bipolar disorder,Bipolar
Anxiety disorders,Anxiety disorders,Anxiety
Eating disorders,Eating disorders,Eat Disorder
Autism,Autism,Autism
Asperger's syndrome,Asperger's,Asperger
Attention-deficit hyperactivity disorder,ADHD,ADHD
Conduct disorder,Conduct disorder,Conduct
Idiopathic intellectual disability,Intellectual disability,Intellect
Other mental and behavioral disorders,Other mental & behavioral,Oth Mental
Diabetes mellitus,Diabetes,Diabetes
Acute glomerulonephritis,Glomerulonephritis,Glom
Chronic kidney disease due to diabetes mellitus,Diabetic CKD,Diab CKD
Chronic kidney disease due to hypertension,Hypertensive CKD,HTN CKD
Chronic kidney disease unspecified,Other CKD,Oth CKD
"Tubulointerstitial nephritis, pyelonephritis, and urinary tract infections",Pyelonephritis & UTI,Nephritis
Urolithiasis,Urolithiasis,Urolith
Benign prostatic hyperplasia,Benign prostatic hyperplasia,BPH
Male infertility,Male infertility,Infertility-Mal
Other urinary diseases,Other urinary diseases,Oth Urin
Uterine fibroids,Fibroids,Fibroids
Polycystic ovarian syndrome,Polycystic ovary,PCO
Female infertility,Female infertility,Infertility-Fem
Endometriosis,Endometriosis,Endometr
Genital prolapse,Genital prolapse,Prolapse
Premenstrual syndrome,Premenstrual syndrome,PMS
Other gynecological diseases,Other gynecological disorders,Oth Gynecol
Thalassemias,Thalassemia,Thalass
Sickle cell disorders,Sickle cell,Sickle
G6PD deficiency,G6PD deficiency,G6PD
Other hemoglobinopathies and hemolytic anemias,Other hemog,Oth Hemog
"Other endocrine, nutritional, blood, and immune disorders",Other endocrine,Oth Endo
Rheumatoid arthritis,Rheumatoid arthritis,R Arthritis
Osteoarthritis,Osteoarthritis,Osteo
Low back pain,Low back pain,Low Back Pain
Neck pain,Neck pain,Neck Pain
Gout,Gout,Gout
Other musculoskeletal disorders,Other musculoskeletal,Oth Musculo
Neural tube defects,Neural tube defects,NTD
Congenital heart anomalies,Congenital heart anomalies,C Heart
Cleft lip and cleft palate,Cleft lip & palate,Cleft
Down's syndrome,Down's syndrome,Down's
Other chromosomal abnormalities,Other chromosomal anomalies,Oth Chromo
Other congenital anomalies,Other congenital anomalies,Oth Congen
Eczema,Eczema,Eczema
Psoriasis,Psoriasis,Psoriasis
Cellulitis,Cellulitis,Cellulitis
"Abscess, impetigo, and other bacterial skin diseases",Bacterial skin diseases,Skin Bacterial
Scabies,Scabies,Scabies
Fungal skin diseases,Fungal skin diseases,Skin Fungal
Viral skin diseases,Viral skin diseases,Skin Viral
Acne vulgaris,Acne vulgaris,Acne
Alopecia areata,Alopecia areata,Alopecia
Pruritus,Pruritus,Pruritus
Urticaria,Urticaria,Urticaria
Decubitus ulcer,Decubitus ulcer,Decubitus
Other skin and subcutaneous diseases,Other skin diseases,Oth Skin D
Glaucoma,Glaucoma,Glaucoma
Cataracts,Cataract,Cataract
Macular degeneration,Macular degeneration,Macular
Refraction and accommodation disorders,Refraction disorders,Refraction
Other hearing loss,Other hearing loss,Hearing
Other vision loss,Other vision loss,Oth Vision
Other sense organ diseases,Other sense organ disorders,Oth Sense
Dental caries,Dental caries,D Caries
Periodontal disease,Periodontal disease,Periodontal
Edentulism,Edentulism,Edent
Sudden infant death syndrome,SIDS,SIDS
Pedestrian injury by road vehicle,Pedestrian road injury,Pedestrian
Pedal cycle vehicle,Bicycle road injury,Bicycle
Motorized vehicle with two wheels,2-Wheel road injury,2-Wheel
Motorized vehicle with three or more wheels,4-Wheel road injury,4-Wheel
Road injury other,Other road injury,Oth Road Inj
Other transport injury,Other transport injuries,Oth Trans
Falls,Falls,Fall
Drowning,Drowning,Drown
"Fire, heat and hot substances",Fire,Fire
Poisonings,Poisonings,Poison
Mechanical forces (firearm),Mechanical forces (firearm),Mech Firearm
Mechanical forces (other),Other mechanical forces,Oth Mech
Adverse effects of medical treatment,Adverse medical treatment,Med Treat
Animal contact (venomous),Animal contact (venomous),Animal (Venom)
Animal contact (non-venomous),Animal contact (non-venomous),Animal (Non)
Unintentional injuries not classified elsewhere,Other unintentional injuries,Oth Unintent
Self-harm,Self-harm,Self-harm
Assault by firearm,Assault by firearm,V Gun
Assault by sharp object,Assault by sharp object,V Knife
Assault by other means,Assault by other means,Oth Violence
Exposure to forces of nature,Forces of nature,Disaster
Collective violence and legal intervention,War & legal intervention,War
